dataset,task_id,true_source,snapshot_size,target_fraction,simulation_steps,candidate_rows
sashts,sashts_seed23_sourceS079-006_frac30,S079-006,5,0.3,4,5
sashts,sashts_seed23_sourceS028-003_frac10,S028-003,5,0.1,4,5
sashts,sashts_seed23_sourceS028-003_frac20,S028-003,5,0.2,5,5
sashts,sashts_seed23_sourceS028-003_frac30,S028-003,5,0.3,4,5
sashts,sashts_seed23_sourceS036-002_frac10,S036-002,4,0.1,4,4
sashts,sashts_seed23_sourceS036-002_frac20,S036-002,4,0.2,3,4
sashts,sashts_seed23_sourceS036-002_frac30,S036-002,4,0.3,4,4
sashts,sashts_seed23_sourceJ029-001_frac10,J029-001,3,0.1,3,3
sashts,sashts_seed23_sourceJ029-001_frac20,J029-001,3,0.2,3,3
sashts,sashts_seed23_sourceJ029-001_frac30,J029-001,3,0.3,3,3
sashts,sashts_seed23_sourceJ075-004_frac10,J075-004,3,0.1,3,3
sashts,sashts_seed23_sourceJ075-004_frac20,J075-004,3,0.2,3,3
sashts,sashts_seed23_sourceJ075-004_frac30,J075-004,3,0.3,3,3
sashts,sashts_seed23_sourceJ020-001_frac10,J020-001,5,0.1,4,5
sashts,sashts_seed23_sourceJ020-001_frac20,J020-001,5,0.2,4,5
sashts,sashts_seed23_sourceJ020-001_frac30,J020-001,5,0.3,4,5
sashts,sashts_seed23_sourceS050-004_frac10,S050-004,5,0.1,5,5
sashts,sashts_seed23_sourceS050-004_frac20,S050-004,5,0.2,4,5
sashts,sashts_seed23_sourceS050-004_frac30,S050-004,5,0.3,4,5
sashts,sashts_seed23_sourceJ030-004_frac10,J030-004,3,0.1,3,3
sashts,sashts_seed23_sourceJ030-004_frac20,J030-004,3,0.2,3,3
sashts,sashts_seed23_sourceJ030-004_frac30,J030-004,3,0.3,3,3
sashts,sashts_seed23_sourceS007-006_frac10,S007-006,8,0.1,5,8
sashts,sashts_seed23_sourceS007-006_frac20,S007-006,8,0.2,5,8
sashts,sashts_seed23_sourceS007-006_frac30,S007-006,8,0.3,5,8
sashts,sashts_seed23_sourceJ029-002_frac10,J029-002,3,0.1,3,3
sashts,sashts_seed23_sourceJ029-002_frac20,J029-002,3,0.2,3,3
sashts,sashts_seed23_sourceJ029-002_frac30,J029-002,3,0.3,3,3
sashts,sashts_seed23_sourceJ043-001_frac10,J043-001,6,0.1,4,6
sashts,sashts_seed23_sourceJ043-001_frac20,J043-001,6,0.2,5,6
sashts,sashts_seed23_sourceJ043-001_frac30,J043-001,6,0.3,5,6
sashts,sashts_seed42_sourceS048-005_frac10,S048-005,4,0.1,4,4
sashts,sashts_seed42_sourceS048-005_frac20,S048-005,4,0.2,4,4
sashts,sashts_seed42_sourceS048-005_frac30,S048-005,4,0.3,4,4
sashts,sashts_seed42_sourceS045-004_frac10,S045-004,6,0.1,5,6
sashts,sashts_seed42_sourceS045-004_frac20,S045-004,6,0.2,5,6
sashts,sashts_seed42_sourceS045-004_frac30,S045-004,6,0.3,4,6
sashts,sashts_seed42_sourceJ042-004_frac10,J042-004,3,0.1,3,3
sashts,sashts_seed42_sourceJ042-004_frac20,J042-004,3,0.2,3,3
sashts,sashts_seed42_sourceJ042-004_frac30,J042-004,3,0.3,3,3
sashts,sashts_seed42_sourceS075-001_frac10,S075-001,4,0.1,4,4
sashts,sashts_seed42_sourceS075-001_frac20,S075-001,4,0.2,4,4
sashts,sashts_seed42_sourceS075-001_frac30,S075-001,4,0.3,4,4
sashts,sashts_seed42_sourceS062-001_frac10,S062-001,5,0.1,5,5
sashts,sashts_seed42_sourceS062-001_frac20,S062-001,5,0.2,4,5
sashts,sashts_seed42_sourceS062-001_frac30,S062-001,5,0.3,5,5
sashts,sashts_seed42_sourceS049-005_frac10,S049-005,4,0.1,4,4
sashts,sashts_seed42_sourceS049-005_frac20,S049-005,4,0.2,4,4
sashts,sashts_seed42_sourceS049-005_frac30,S049-005,4,0.3,4,4
sashts,sashts_seed42_sourceJ024-001_frac10,J024-001,3,0.1,3,3
sashts,sashts_seed42_sourceJ024-001_frac20,J024-001,3,0.2,3,3
sashts,sashts_seed42_sourceJ024-001_frac30,J024-001,3,0.3,3,3
sashts,sashts_seed42_sourceS011-004_frac10,S011-004,5,0.1,4,5
sashts,sashts_seed42_sourceS011-004_frac20,S011-004,5,0.2,3,5
sashts,sashts_seed42_sourceS011-004_frac30,S011-004,5,0.3,4,5
sashts,sashts_seed42_sourceJ077-002_frac10,J077-002,4,0.1,4,4
sashts,sashts_seed42_sourceJ077-002_frac20,J077-002,4,0.2,4,4
sashts,sashts_seed42_sourceJ077-002_frac30,J077-002,4,0.3,4,4
sashts,sashts_seed42_sourceS075-004_frac10,S075-004,4,0.1,4,4
sashts,sashts_seed42_sourceS075-004_frac20,S075-004,4,0.2,4,4
sashts,sashts_seed42_sourceS075-004_frac30,S075-004,4,0.3,4,4
sashts,sashts_seed42_sourceS006-008_frac10,S006-008,6,0.1,5,6
sashts,sashts_seed42_sourceS006-008_frac20,S006-008,6,0.2,5,6
