dataset,main_graph_id,evaluation_task,label_definition,main_evaluation_status,phase04_metric_source
sashts,sashts_household_contact_graph,infection-risk classification,sars == Positive,supervised_metrics_available,results/metrics/benchmark_table.csv
sociopatterns_primary_school,sociopatterns_weighted_contact_graph,source tracing,true source generated by SI simulation on the observed weighted contact graph,trace_metrics_available,results/metrics/trace_summary_table.csv
sociopatterns_hospital,sociopatterns_weighted_contact_graph,source tracing,true source generated by SI simulation on the observed weighted contact graph,trace_metrics_available,results/metrics/trace_summary_table.csv
