model,feature_set,runs,test_auc_mean,test_auc_std,test_auc_mean_std,test_ap_mean,test_ap_std,test_ap_mean_std,test_f1_mean,test_f1_std,test_f1_mean_std,test_precision_mean,test_precision_std,test_precision_mean_std,test_recall_mean,test_recall_std,test_recall_mean_std,test_brier_mean,test_brier_std,test_brier_mean_std
graph_remove_centrality,remove_centrality,15,0.6159173187757417,0.03904842082393485,0.6159 +/- 0.0390,0.8021889598893103,0.03167198425739437,0.8022 +/- 0.0317,0.8267023487756345,0.012338391094737215,0.8267 +/- 0.0123,0.71073234175476,0.008936898092013406,0.7107 +/- 0.0089,0.9883950617283951,0.028066498739856373,0.9884 +/- 0.0281,0.24436010476215175,0.004052824316367039,0.2444 +/- 0.0041
graph_remove_edge_contact,remove_edge_contact,15,0.6180094553660863,0.03563896422163274,0.6180 +/- 0.0356,0.802161520235127,0.03215001997915263,0.8022 +/- 0.0322,0.8263881528000431,0.01642872795002036,0.8264 +/- 0.0164,0.714399201034833,0.012261109687872281,0.7144 +/- 0.0123,0.9809567901234567,0.037829368396637024,0.9810 +/- 0.0378,0.24233945594817338,0.005527350997727235,0.2423 +/- 0.0055
graph_full,full,15,0.5792582895002251,0.07631573091950056,0.5793 +/- 0.0763,0.7747403510278378,0.043890253789940645,0.7747 +/- 0.0439,0.8251524473128974,0.014176421912943618,0.8252 +/- 0.0142,0.7107851904193817,0.01008734903094326,0.7108 +/- 0.0101,0.9842078189300412,0.034825081171291385,0.9842 +/- 0.0348,0.24458031776778058,0.004400313435643462,0.2446 +/- 0.0044
no_graph_mlp_full,full_no_graph,15,0.5180832820438555,0.06691894357593045,0.5181 +/- 0.0669,0.739065483642286,0.04621527419259998,0.7391 +/- 0.0462,0.8296823015002315,0.006509656730018245,0.8297 +/- 0.0065,0.7089870615198658,0.009514161922761126,0.7090 +/- 0.0095,1.0,0.0,1.0000 +/- 0.0000,0.2499311855535923,0.00023243979400674233,0.2499 +/- 0.0002
graph_remove_metadata,remove_metadata,15,0.5152152434052076,0.05459719446727476,0.5152 +/- 0.0546,0.728266539044542,0.0325445497614631,0.7283 +/- 0.0325,0.8279228839041006,0.008831323487462461,0.8279 +/- 0.0088,0.7085120335471266,0.009733351675835287,0.7085 +/- 0.0097,0.9958539094650206,0.011206063920420813,0.9959 +/- 0.0112,0.2487831799639631,0.0025012333606934207,0.2488 +/- 0.0025
