model,seed,metric,runs,train_mean,validation_mean,test_mean,train_test_gap_mean,validation_test_gap_mean
full_pytorch_graphsage,11,auc,3,0.7771395685822209,0.6581397478798913,0.5821876600102406,0.19495190857198022,0.07595208786965064
full_pytorch_graphsage,23,auc,3,0.8123242365625879,0.5921499514689479,0.5580235276471835,0.2543007089154043,0.03412642382176434
full_pytorch_graphsage,42,auc,3,0.7188391639556514,0.6167746978230849,0.5800482853798266,0.1387908785758248,0.036726412443258326
full_pytorch_graphsage,77,auc,3,0.8258553059180299,0.663658581893349,0.6104635491284237,0.21539175678960623,0.053195032764925286
full_pytorch_graphsage,101,auc,3,0.6981108663008304,0.5968753932911639,0.5554746345516954,0.142636231749135,0.041400758739468434
full_pytorch_graphsage,11,ap,3,0.8945481171622919,0.829095097974064,0.7663098352304315,0.12823828193186046,0.06278526274363246
full_pytorch_graphsage,23,ap,3,0.9203349144536066,0.7814179128821027,0.7582608371535197,0.16207407730008702,0.023157075728583127
full_pytorch_graphsage,42,ap,3,0.8626801675727173,0.8054787918081313,0.7737562913496642,0.0889238762230532,0.031722500458467105
full_pytorch_graphsage,77,ap,3,0.9197541557493167,0.833020029340695,0.7842485249780496,0.13550563077126712,0.04877150436264529
full_pytorch_graphsage,101,ap,3,0.835299154326739,0.7864200470135008,0.7568262844880076,0.07847286983873136,0.029593762525493023
full_pytorch_graphsage,11,f1,3,0.8490689478352073,0.8268247234645205,0.8279610460461525,0.02110790178905475,-0.0011363225816319138
full_pytorch_graphsage,23,f1,3,0.8350028406259155,0.8339329663936993,0.8236140570900186,0.011388783535897007,0.010318909303680845
full_pytorch_graphsage,42,f1,3,0.8310808304549608,0.831121564597526,0.8296823015002318,0.001398528954729102,0.0014392630972941782
full_pytorch_graphsage,77,f1,3,0.8453633027154072,0.8371290645017178,0.8211558439920398,0.024207458723367454,0.015973220509678088
full_pytorch_graphsage,101,f1,3,0.8255824649396623,0.8368330151804382,0.8299395315005992,-0.004357066560937002,0.0068934836798388854
full_pytorch_graphsage,11,brier,3,0.1732084695818614,0.25643831602537454,0.2879884568648607,-0.11477998728299936,-0.03155014083948616
full_pytorch_graphsage,23,brier,3,0.1763441870924111,0.2423527097561149,0.2685733209893178,-0.09222913389690668,-0.026220611233202924
full_pytorch_graphsage,42,brier,3,0.21074188353093037,0.2335591516551554,0.23607910156283288,-0.02533721803190253,-0.0025199499076775287
full_pytorch_graphsage,77,brier,3,0.1670286623112646,0.2510057537512081,0.2637914136472093,-0.0967627513359447,-0.012785659896001231
full_pytorch_graphsage,101,brier,3,0.22704325261654887,0.25074607430919627,0.25855574398926634,-0.03151249137271745,-0.00780966968007001
